year,PR_JV,PR_NS,PR_SS,PR_DA
1995,129.3320954,169.0193993,86.35125683,125.162485
1996,215.386155,278.7472304,147.4158206,210.8334547
1997,271.7255025,353.5874054,184.0270039,265.6228241
1998,179.2813701,235.3886945,119.2433725,175.329005
1999,116.7389063,151.7034896,79.58663208,114.8255819
2000,236.2516434,306.4331746,160.6861535,228.4163351
2001,223.6241035,293.5474212,148.8930081,214.6087093
2002,289.0670378,371.6118858,200.3838098,283.3601009
2003,318.6763622,418.5651116,211.5148618,306.0431231
2004,188.389202,246.4690971,125.2829819,178.2417319
2005,204.4160061,267.9076268,136.0266684,197.1579541
2006,192.5781352,248.8374557,131.8461732,190.2987028
2007,178.9587566,232.3010388,121.3512958,172.8708504
2008,158.2026338,203.653842,109.7114859,152.71494
2009,188.1840455,252.6203229,118.7759305,180.5831749
2010,183.1154048,231.9974907,131.0749532,176.488628
2011,208.4826103,275.5148975,136.1575969,200.5346621
2012,259.7403513,337.163031,176.1172766,249.6316906
2013,256.8382185,326.0133407,182.1904524,247.314554
2014,202.4321091,256.1564126,146.0287528,201.0895024
2015,236.7186868,304.382662,164.3498859,235.7175037
2016,210.3193187,271.7001498,143.7200412,200.8238895
2017,124.5215919,158.2676751,87.20685719,122.5810412
